class_bayesian;minor;spam;common;help;response
10;0.06942628320059009;0.1298112231979142;0.05032683001544098;0.2505404748558068;"common
"
10;0.20688530928585316;0.24194369672342542;1.0000000000000002;0.06991131536124215;"common
"
0;0.15879243156436662;0.17664445195607398;0.12535958527670932;0.20975894672446752;"spam
"
10;0.20688530928585316;0.24194369672342542;1.0000000000000002;0.06991131536124215;"common
"
0;0.2219847246607782;0.12069300512406322;0.20100283176988182;0.17564683078920965;"spam
"
0;0.27301463253933567;0.2822454208445894;0.18530793662300618;0.1506069733273415;"spam
"
10;0.1679998791822479;0.12343987921424265;0.15239527360418362;0.11299582330683004;"common
"
-10;1.0000000000000002;0.43352044439450116;0.20688530928585316;0.2726283983694273;"minor
"
10;0.20688530928585316;0.24194369672342542;1.0000000000000002;0.06991131536124215;"common
"
10;0.1679998791822479;0.12343987921424265;0.15239527360418362;0.11299582330683004;"common
"
0;0.20688530928585316;0.24194369672342542;1.0000000000000002;0.06991131536124215;"spam
"
-10;0.23577632488065262;0.14617583748200177;0.254555768696015;0.18223410810496102;"minor
"
0;0.13064958622002096;0.12362850329926316;0.15614743680777546;0.1299662270290988;"spam
"
-10;1.0000000000000002;0.43352044439450116;0.20688530928585316;0.2726283983694273;"minor
"
10;0.2095869063528907;0.18061124416326937;0.34503131222012867;0.07989350544980477;"common
"
0;0.14765467542960328;0.09737776478454442;0.12151331481687935;0.1255212041639509;"spam
"
10;0.2219847246607782;0.12069300512406322;0.20100283176988182;0.17564683078920965;"common
"
0;0.19701783749002832;0.16681821093292756;0.28952301547942527;0.13351352550262113;"spam
"
0;0.14168425906567533;0.08056067909940734;0.22115651531201444;0.0633739028864839;"spam
"
10;0.1603774179004405;0.08475908055071986;0.15161699389036432;0.11884420831657602;"common
"
-10;0.23577632488065262;0.14617583748200177;0.254555768696015;0.18223410810496102;"minor
"
0;0.08863431429404404;0.13358653600789916;0.15705860303640598;0.15504377890113694;"spam
"
0;0.30037874755213;0.2338816306665233;0.2881876936376654;0.0704472678061565;"spam
"
20;0.2726283983694273;0.23525855820839026;0.06991131536124215;1.0;"help
"
10;0.17562565826718735;0.09451252582813277;0.1548880017751907;0.08537360887582243;"common
"
10;0.17842356683570781;0.098121346135891;0.14727076986163065;0.11600989283960436;"common
"
10;0.19701783749002832;0.16681821093292756;0.28952301547942527;0.13351352550262113;"common
"
10;0.16194272782849142;0.11720331702079298;0.13838579743223964;0.1284779665118064;"common
"
0;0.17114678108601894;0.17938547655789386;0.22652715559397946;0.09687971638795236;"spam
"
-10;1.0000000000000002;0.43352044439450116;0.20688530928585316;0.2726283983694273;"minor
"
10;0.20688530928585316;0.24194369672342542;1.0000000000000002;0.06991131536124215;"common
"
-10;0.19849768775504323;0.12816075201684612;0.2576429609793695;0.10281284653649644;"minor
"
20;0.2726283983694273;0.23525855820839026;0.06991131536124215;1.0;"help
"
0;0.12359691397667205;0.19912016686649983;0.13899304898615827;0.06564468879910723;"spam
"
10;0.20914709579005764;0.19333508990584566;0.3102835196572363;0.07963440115117092;"common
"
0;0.19501890899124377;0.16607454158139126;0.2544883805702514;0.13063377240344398;"spam
"
0;0.2721920837905505;0.22059819837246913;0.37137055079601905;0.09851282730176844;"spam
"
10;0.2095869063528907;0.18061124416326937;0.34503131222012867;0.07989350544980477;"common
"
-10;1.0000000000000002;0.43352044439450116;0.20688530928585316;0.2726283983694273;"minor
"
20;0.2812949303373773;0.34673055874794334;0.22251174191236195;0.20428742836368333;"help
"
10;0.13170492258737082;0.0852479424813513;0.18740873034960356;0.0921191374599716;"common
"
0;0.2276982751596971;0.10134717868640067;0.041375347106181036;0.11969539818650288;"spam
"
0;0.10180541964154287;0.09152017968827228;0.08984018905781664;0.16540642524397253;"spam
"
10;0.2219847246607782;0.12069300512406322;0.20100283176988182;0.17564683078920965;"common
"
20;0.2726283983694273;0.23525855820839026;0.06991131536124215;1.0;"help
"
-10;1.0000000000000002;0.43352044439450116;0.20688530928585316;0.2726283983694273;"minor
"
0;0.26479229596882364;0.19705342129219908;0.2522763005582632;0.15385953778835582;"spam
"
10;0.22200913568808409;0.1410925782995937;0.22380033016855372;0.15416736445399568;"common
"
-10;0.14765467542960328;0.09737776478454442;0.12151331481687935;0.1255212041639509;"minor
"
